short_id,short_headline,short_view_count,url,time_record,video_tag
Du_PKRdB50Y,She did NOT hesitate giving her number 💀 (Jujutsu Kaisen Season 2),2.4M views,/shorts/Du_PKRdB50Y,2024-03-18 23:32:23.757362,"['HARISSM', 'anime reaction', 'anime mashup', 'Jujutsu Kaisen', 'Jujutsu Kaisen Season 2 Episode 2', 'Jujutsu Kaisen Season 2 reaction', 'Jujutsu Kaisen season 2 episode 2 reaction', 'Jujutsu Kaisen season 2 ep 2 reaction', 'Jujutsu Kaisen gojo geto', 'Jujutsu Kaisen fushiguro dad', 'Jujutsu Kaisen episode 2', 'Jujutsu Kaisen Harissm', 'Jujutsu Kaisen reaction mashup', 'Jujutsu kaisen harissm reaction', 'itadori yuuji', 'fushiguro megumi', 'gojou satoru', 'jujutsu kaisen end', 'fushiguro touji', 'getou suguru']"
TIXpAHkgqQM,Hololive Kobo Kanaeru Realistic AI Generated,111K views,/shorts/TIXpAHkgqQM,2024-03-18 23:32:23.757362,"['kobo', 'kobo kanaeru', 'aI', 'aiart', 'Photographs', 'Lookbook', 'がうる・ぐら', 'hololive real face', 'hololive indonesia', 'hololive en', 'holoid', 'kobokers', 'ai art and music', 'kobo ai', 'hololive ai', 'hololive kobo', 'kobo clip', 'wajah asli kobo kanaeru', 'realistic ai', 'kobo hololive', 'kobo cover', 'kobo kanaeru ch', 'kobo kaneru', 'ai generated']"
WxY5-I5hZ_8,STARDENBURDENHARDENBART day11 Cat Calling in different languages (German always works),491K views,/shorts/WxY5-I5hZ_8,2024-03-18 23:32:23.757362,"['cat', 'cats', 'languages', 'STARDENBURDENHARDENBART', 'Cat Calling', 'German always works', 'humor', 'meme', 'tik tok', 'kitty']"
SMHdXNxIUrQ,Kai Cenat Though He Got Called The N Word😂,5.6M views,/shorts/SMHdXNxIUrQ,2024-03-18 23:32:23.757362,[]
yeseJ_WyvQg,Maomao's new little student😂😂 [The Apothecary diaries] #animeedit #viral #fyp,220K views,/shorts/yeseJ_WyvQg,2024-03-18 23:32:23.757362,[]
DxN6u3_MkuQ,"sok”an cinta lo dek, rapor lu benerin dlo #cover #mosawo #koiiro",723K views,/shorts/DxN6u3_MkuQ,2024-03-18 23:32:23.757362,[]
Du2LFI-bkF0,when your gf walks in but you're addicted to wow,5.4M views,/shorts/Du2LFI-bkF0,2024-03-18 23:32:23.757362,[]
WA-p-vUd5Uw,Ngerasa bersalah 😭,502K views,/shorts/WA-p-vUd5Uw,2024-03-18 23:32:23.757362,[]
hOD7MtMZpns,"ER Doctor REACTS to ""Satisfying"" Hair Splinter Removal",29M views,/shorts/hOD7MtMZpns,2024-03-18 23:32:23.757362,[]
6Roy8P4NkHU,Why Shylily's Model Is So Good,1.7M views,/shorts/6Roy8P4NkHU,2024-03-18 23:32:23.757362,"['Emiru', 'Emiru Twitch', 'emiru clips', 'emiru clip', 'otk emiru', 'emiru live', 'emiru twitch', 'emiru', 'emiru reacts', 'twitch emiru', 'emiru livestream', 'emiru highlights', 'emiru otk', 'emiru podcast', 'emiru highlight', 'emiru shorts', 'emiru twitch highlights', 'emiruLIVE', ""Why Shylily's Model Is So Good"", 'emiru shylily', 'shylily', 'shylily vtuber', 'vtuber', 'emiru vtuber', 'shylily vtuber model', 'shylily model', 'shylily model tracking', 'shylily model comparison']"
mITd8UHkzO4,"Frieren TROLLS her enemies, even demons feel insulted | Frieren: Beyond Journey's End",1M views,/shorts/mITd8UHkzO4,2024-03-18 23:32:23.757362,"['Sousou no Frieren', ""Frieren: Beyond Journey's End""]"
5JyijwAIWsk,Professional Motion Capture Actor,40M views,/shorts/5JyijwAIWsk,2024-03-18 23:32:23.757362,[]
