video_id,video_title,view_count,channel_name,channel_id,channel_url,time_record,video_tag
Dd_uvpdhonc,Sahur Kalian!!!,497,ShinMei,UCahetHoMuR0j0EKLogexCIg,/@ShinMeii,2024-03-18 23:32:23.757362,[]
vZ96jD3jh1Q,Kenapa Eropa Pro LGBT banget? Padahal Dulu Paling Anti! Lupa Tragedi Masa Lalu? | LearningByGoogling,81605,Sepulang Sekolah,UCfQHaUbD0oEBH_FRYHE5qIg,/@SepulangSekolah,2024-03-18 23:32:23.757362,"['sepulang sekolah', 'koi', 'jui', 'SMA', 'pelajar', 'komedi', 'comedy', 'standup', 'web series', 'bogor', 'indonesia', 'belajar', 'learning by googling', 'learning by google', 'learning with google', 'koide', 'koide namizo', 'koiyocabe', 'koiyo cabe', 'koyocabe', 'koyo cabe', 'history', 'sejarah', 'budaya', 'culture', 'asia tenggara', 'south east asia', 'story telling', 'storytelling', 'penjelasan', 'eropa', 'pelangi', 'raindow', 'index rainbow', 'rainbows', 'index']"
1h1w876eIAo,MENDING AZKA KATOLIK SELAMANYA DARIPADA DEKET SAMA ONAD‼️- LOGIN - JAFAR - ONAD,798389,Deddy Corbuzier,UCYk4LJI0Pr6RBDWowMm-KUw,/@corbuzier,2024-03-18 23:32:23.757362,"['Login', 'Log in', 'Habib Jafar', 'Onad', 'Onadio Leonardo', 'Closethedoor', 'Login di closethedoor', 'Agama', 'Islam', 'Ramadhan', 'Lucu', 'Debat', 'Sahur', 'buka puasa', 'puasa', 'tarawih', 'Komedi', 'Comedy', 'Deddy Corbuzier', 'Corbuzier', 'Orang tua', 'religi', 'islam', 'kristen', 'muslim', 'gereja', 'anak', 'nada tarina', 'azka corbuzier', 'ibu', 'surga', 'neraka']"
F4lTTdu5Euw,MAGIC CAN BE BEAUTIFUL 🌸  I Frieren: Beyond Journey's End Episode 27 Reaction!,107,Drawingkee,UCayykaPKkS6xwa9hKyUHtWw,/@Drawingkee,2024-03-18 23:32:23.757362,"['anime', 'anime reaction', 'drawingkee', 'drawingkee reaction', 'drawingkee anime reaction', 'drawingkee anime', 'frieren episode 27 reaction', 'reacting to frieren', 'reacting to frieren episode 27', ""reacting to frieren beyond journey's end episode 27"", 'frieren ep 27 reaction', 'ep 27 frieren reaction', 'stark', 'fern', 'himmel', 'heiter', 'frieren', 'episode 27 frieren']"
yM9nzbzJNec,Sousou no Frieren Ep. 27 Emotional OST- Flower Field | COVER,7123,TaeIn Kim Music,UCO-CX5f2TOpRxeoi0Xi9C1A,/channel/UCO-CX5f2TOpRxeoi0Xi9C1A,2024-03-18 23:32:23.757362,"['sousou', 'sousou no frieren', 'frieren', 'frieren ost', 'sousou no frieren emotional ost', 'emotional ost', 'frieren emotional ost', 'frieren sad ost', 'frieren sad music', 'sousou no frieren 27', 'episode 27']"
WRa-38EDrZA,Shangri-La Frontier: Pemburu Gim Ampas Menjajal Gim Dewa - Episode 23 [Takarir Indonesia],321420,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,/@MuseIndonesia,2024-03-18 23:32:23.757362,"['シャンフロ', '日高里菜', '千本木彩花', 'Fantasy', 'Drama', 'isekai', 'komedi', 'muse', 'anime', 'Streaming', 'DiRumahAja']"
BxTXp7EF8mw,EPISODE 143: PENEMUAN MENGEJUTKAN SAAT GALI MAKAM❗️,76287,Dokter Stephanie,UCNylyhNWG_zKB2yw0l6nl9g,/@dokterstephanie,2024-03-18 23:32:23.757362,"['Forensik', 'Forensic', 'Forensics', 'Otopsi', 'Autopsy', 'Kisah Otopsi', 'Kisah Forensik', 'Kisah Forensik Dokter Stephanie', 'Kisah Otopsi Dokter Stephanie', 'Misteri', 'Cerita Misteri', 'Cerita Horor', 'Horor', 'Horror', 'Medis', 'Misterius', 'Sosok Gaib', 'Mistis', 'Cerita Mistis', 'Cerita Mistik', 'Cerita Forensik', 'Cerita Otopsi', 'Cerita Dari Ruang Otopsi', 'Exhumasi', 'Gali Kubur', 'Gali Makam', 'Janin Bayi', 'Janin dalam perut mayat', 'Gadis Remaja Hamil']"
gpLkELOOSkQ,Semua episode Tanpa Sadar Levelku Mentok Setelah Membasmi Slime Selama 300 Tahun [Takarir Indonesia],456625,Muse ID Best Anime Collection,UCjcAfwNEjkXA352e2uMt5Jg,/@museidbestanimecollection,2024-03-18 23:32:23.757362,"['Slime', 'Slime300', 'Azusa', 'Beelzebub', 'Laika', 'YuukiAoi', 'HondoKaede', 'OzawaAri', 'SquareEnix', 'Bushiroad', 'Dmm', 'DirumahAja', 'Muse', 'Gratis', 'Isekai']"
8mEAAeDIH6w,The Apothecary diaries,36,tisuki_kun,UCkwCdZ9YWdzw7cQZMQ6i0zA,/@haruko_cha,2024-03-18 23:32:23.757362,[]
WQEdmaIkjFY,Kenapa Kita Tidak Bahagia?,31878,Raditya Dika,UC0rzsIrAxF4kCsALP6J2EsA,/@radityadika,2024-03-18 23:32:23.757362,['raditya dika']
k-Wk_hm2Aa4,"Kronologi lengkap, Kejanggalan & Teori2 menghilangnya KATE MIDDLETON. | #NERROR",255486,Nessie Judge,UC_SBt2BFBkExq_azj-P5lNA,/@NessieJudge,2024-03-18 23:32:23.757362,"['indonesian', 'vlog', 'vlogger', 'youtuber', 'nessie', 'judge', 'nessiejudge', 'nerror', 'teorikonspirasi', 'horror']"
IH9g49LqfRI,"The Apothecary Diaries - Opening Full | ""Be a flower"" by Ryokuoushoku Shakai (Lyrics)",1083810,Kirasa,UCg1308fU0mQZUsE7RlcZEWw,/@KirasaMusic,2024-03-18 23:32:23.757362,"['Kirasa', 'Lyrics', 'OP', 'ED', 'Full', 'KiraDesuWa', 'Music', 'yt:cc=on']"
D7bnoDIPs4M,Pentingnya belajar fisika di sekolah... Biar ga kayak gini 😭😭,115965,Fajrul Fx,UCUYgCukQfUN2DImPYrBiV4g,/@FajrulFx,2024-03-18 23:32:23.757362,"['Fajrul Fx', 'sains', 'indonesia', 'fisika']"
qHCVG5xQgwc,Learn Japanese with Fern | Frieren: Beyond Journey's End | Fern blocks Zoltraak,73998,Learn Japanese with Anime,UC9ssvo21riZqIWx6dLyzUNg,/@LearnJapanesewithJasmine,2024-03-18 23:32:23.757362,[]
YV0SfVzcV1w,"PWK - SUDAH BELAJAR PUASA, SHOLAT, DAN PUNYA KTP ISLAM, INI ALASAN DENNY SUMARGO BELUM LOG IN!!",2519042,HAS Creative,UCio3ArXLJ_Mo8FLLGVzIC5A,/@HASCreative,2024-03-18 23:32:23.757362,"['pwk', 'podcast warung', 'warung kopi', 'yanti', 'praz teguh', 'BBEG', 'komika', 'stand up comedy', 'suci', 'Has Creative', 'PWK', 'Podcast Warung Kopi', 'Yanti', 'Yanti Pwk', 'PrazYanti', 'Maling', 'Talkjil', 'Denny Sumargo', 'denny sumargo podcast', 'denny sumargo klarifikasi', 'denny sumargo istri', 'olivia allan', 'curhat bang denny sumargo', 'denny sumargo pwk', 'denny sumargo yanti', 'densu', 'denny sumargo praz teguh', 'denny sumargo ellyas pical', 'denny sumargo basket', 'pembasket sombong', 'denny sumargo aktor', 'lucu', 'kocak', 'komedi']"
ZaFIYKKkH3g,Ini yang Katanya Anime Komedi Paling Lucu? - Grand Blue,13981,Megane Sensei,UC6Yoq_MyO8-nkrvCj7USqzw,/@MeganeSensei,2024-03-18 23:32:23.757362,"['Overlord', 'Detail Kecil', 'Megane Sensei', 'Grand Blue', 'Grand Blue Season 2', 'Iori', 'Chisa', 'Aina', 'Kouhei']"
rgn2aZCYTqc,"Relaxing music Relieves Stress, Anxiety and Depression 🌿Rain Sounds for Heals the Mind, body & Soul",171563,The Soul of Wind,UCUZNK80DemBN3kyxusDLwrA,/@TheSoulofWindLabel,2024-03-18 23:32:23.757362,"['music for massage', 'music therapy', 'music for sleep', 'relaxing music', 'music for harmony', 'gentle music', 'beautiful music', 'music for health', 'stress relief', 'yoga', 'sleep', 'tranquil paradise', 'calm', 'relaxation music', 'healing music', 'calm music', 'positive music', 'music to relax', 'meditation music', 'sleep music', 'deep sleep', 'deep sleep music', 'deep sleeping music', 'peaceful', 'relaxing sleep music', 'bamboo waters', 'sleep in night']"
08Wrjft4KsU,"Xpander Nabrak Porsche 9Milyar, Caleg Kena Clickbait & Tes Adrenalin",92700,TnM,UCZdmuthWjKAC-oiaoh1bfOw,/@andriTNM,2024-03-18 23:32:23.757362,"['TNM', 'Podcast', 'lunatictwister', 'Viral', 'Trending', 'Viral di Indonesia', 'Indonesia', 'Berita', 'Info', 'Misuh']"
